Quality-Adjusted Life-Year	16752	10435	62%	0.00	9706	9397	97%	1.2	
Quadrant Selection	36034	20768	58%	0.00	18168	17616	97%	1.2	
Pot	21849	13244	61%	0.00	11984	11598	97%	1.2	
Hello World!	128389	73380	57%	0.00	55843	53394	96%	1.2	
Autori	28897	17968	62%	0.00	15984	15410	96%	1.2	
Tarifa	24964	14321	57%	0.00	13178	12711	96%	1.3	
Take Two Stones	40146	24158	60%	0.00	20338	19565	96%	1.3	
Stuck In A Time Loop	51214	26449	52%	0.00	22508	21687	96%	1.3	
Stopwatch	1630	1025	63%	0.00	815	800	98%	1.3	
Solving for Carrots	36599	23352	64%	0.00	20566	19774	96%	1.3	
Sibice	16906	9482	56%	0.00	9048	8714	96%	1.3	
Shattered Cake	4636	3095	67%	0.01	2394	2317	97%	1.3	
R2	40884	24669	60%	0.00	20516	19760	96%	1.3	
Planina	15080	9522	63%	0.00	8835	8585	97%	1.3	
Piece of Cake!	8335	5326	64%	0.00	5025	4830	96%	1.3	
Pet	19250	11333	59%	0.00	10421	10004	96%	1.3	
Oddities	30322	16685	55%	0.00	14776	14262	97%	1.3	
Nasty Hacks	16132	9542	59%	0.00	9097	8831	97%	1.3	
Modulo	14101	8695	62%	0.00	7949	7582	95%	1.3	
Last Factorial Digit	13430	8176	61%	0.00	7335	7080	97%	1.3	
Laptop Sticker	797	580	73%	0.00	560	550	98%	1.3	
Jumbo Javelin	530	448	85%	0.00	410	404	99%	1.3	
Jack-O'-Lantern Juxtaposition	1863	1321	71%	0.00	1277	1245	97%	1.3	
IsItHalloween.com	11050	6143	56%	0.00	5787	5578	96%	1.3	
ICPC Awards	5898	3703	63%	0.00	3247	3121	96%	1.3	
Hissing Microphone	20659	11356	55%	0.00	10252	9922	97%	1.3	
Heart Rate	8055	5388	67%	0.00	4709	4579	97%	1.3	
Harshad Numbers	4662	3143	67%	0.00	2975	2875	97%	1.3	
Greetings!	3979	2700	68%	0.00	2328	2269	97%	1.3	
Grass Seed Inc.	12476	7597	61%	0.00	7105	6910	97%	1.3	
FizzBuzz	29736	17101	58%	0.00	13998	13488	96%	1.3	
Filip	16932	10309	61%	0.00	9565	9253	97%	1.3	
Faktor	17107	11809	69%	0.00	10713	10422	97%	1.3	
Electrical Outlets	2488	1849	74%	0.00	1770	1735	98%	1.3	
Dice Cup	12513	8283	66%	0.00	7494	7272	97%	1.3	
Cold-puter Science	31081	19729	63%	0.00	17206	16652	97%	1.3	
Chanukah Challenge	4534	2898	64%	0.00	2678	2586	97%	1.3	
Cetvrta	10919	7082	65%	0.00	6647	6387	96%	1.3	
